Species ID,Family,Genus,Species,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned,JoinScience,JoinScience2,JoinScience2Alt
15310,FELIDAE,Leopardus,geoffroyi,Oncifelis geoffroyi  ,Geoffroy's Cat,Chat de Geoffroy,"Gato de Mato, Gato Montés Común",LC,,3.1,2015,stable,N,Leopardus geoffroyi,"""Leopardus geoffroyi""","""Oncifelis geoffroyi  """
15311,FELIDAE,Leopardus,guigna,Oncifelis guigna  ,"Guiña, Kodkod, Chilean Cat",Guigna,Guina,VU,A2abc; C2a(i),3.1,2015,decreasing,N,Leopardus guigna,"""Leopardus guigna""","""Oncifelis guigna  """
54010476,FELIDAE,Leopardus,guttulus,,"Southern Tiger Cat, Southern Little Spotted Cat",Chat tigre du sud,Tirica,VU,C1,3.1,2016,decreasing,N,Leopardus guttulus,"""Leopardus guttulus""",
15452,FELIDAE,Leopardus,jacobita,Felis jacobita  |Oreailurus jacobita  |Oreailurus jacobitus  |Oreailurus jacobitus  ,"Andean Cat, Mountain Cat, Andean Mountain Cat",Chat des Andes,"Chinchay, Gato Andino, Gato Lince",EN,C2a(i),3.1,2016,decreasing,N,Leopardus jacobita,"""Leopardus jacobita""","""Felis jacobita  |Oreailurus jacobita  |Oreailurus jacobitus  |Oreailurus jacobitus  """
11509,FELIDAE,Leopardus,pardalis,,Ocelot,,"Manigordo, Gato Onza, Ocelote, Tigrillo",LC,,3.1,2015,decreasing,N,Leopardus pardalis,"""Leopardus pardalis""",
54012637,FELIDAE,Leopardus,tigrinus,,Northern Tiger Cat,Chat tigre du nord,"Tigrillo, tirica, gato tigre",VU,A2c,3.1,2016,decreasing,N,Leopardus tigrinus,"""Leopardus tigrinus""",
11511,FELIDAE,Leopardus,wiedii,,"Margay, Tree Ocelot",,"Gato Montés, Caucel, Gato Pintado, Tigrillo",NT,,3.1,2015,decreasing,N,Leopardus wiedii,"""Leopardus wiedii""",
11638,FELIDAE,Leptailurus,serval,Caracal serval  ,Serval,Chat-tigre,,LC,,3.1,2015,stable,N,Leptailurus serval,"""Leptailurus serval""","""Caracal serval  """
12518,FELIDAE,Lynx,canadensis,,"Canada Lynx, American Lynx",Lynx du Canada,"Lince del Canadá, Lince del Canadá",LC,,3.1,2016,stable,N,Lynx canadensis,"""Lynx canadensis""",
12519,FELIDAE,Lynx,lynx,,Eurasian Lynx,"Lynx Boréal, Lynx","Lince, Lince Boreal",LC,,3.1,2015,stable,N,Lynx lynx,"""Lynx lynx""",
12520,FELIDAE,Lynx,pardinus,,"Iberian Lynx, Spanish Lynx, Pardel Lynx","Lynx d'Espagne, Lynx pardelle",Lince Ibérico,EN,D,3.1,2015,increasing,N,Lynx pardinus,"""Lynx pardinus""",
12521,FELIDAE,Lynx,rufus,,"Bobcat, Bay Lynx","Lynx roux, Chat sauvage","Gato Montés, Lince, Lince Rojo",LC,,3.1,2016,stable,N,Lynx rufus,"""Lynx rufus""",
136603,FELIDAE,Neofelis,diardi,,"Sunda Clouded Leopard, Sunda Clouded Leopard, Enkuli Clouded Leopard, Sunda Islands Clouded Leopard, Sundaland Clouded Leopard",,,VU,A2c; C1,3.1,2015,decreasing,N,Neofelis diardi,"""Neofelis diardi""",
14519,FELIDAE,Neofelis,nebulosa,Felis nebulosa,Clouded Leopard,"Panthère longibande, Panthère nébuleuse","Pantera del Himalaya, Pantera Longibanda, Pantera Nebulosa",VU,A2cd+3cd,3.1,2016,decreasing,N,Neofelis nebulosa,"""Neofelis nebulosa""","""Felis nebulosa"""
15640,FELIDAE,Otocolobus,manul,Felis manul,"Pallas's Cat, Manul",Chat manul,"Gato de Pallas, Gato Manul",NT,,3.1,2016,decreasing,N,Otocolobus manul,"""Otocolobus manul""","""Felis manul"""
15951,FELIDAE,Panthera,leo,Felis leo,"Lion, African Lion",Lion d'Afrique,León,VU,A2abcd,3.1,2016,decreasing,N,Panthera leo,"""Panthera leo""","""Felis leo"""
15953,FELIDAE,Panthera,onca,Felis onca,Jaguar,,"Tigre Real, Tigre Americano, Otorongo, Yaguar, Yaguarete",NT,,3.1,2008,decreasing,N,Panthera onca,"""Panthera onca""","""Felis onca"""
15954,FELIDAE,Panthera,pardus,Felis pardus,Leopard,"Panthère, Léopard","Leopardo, Pantera",VU,A2cd,3.1,2016,decreasing,N,Panthera pardus,"""Panthera pardus""","""Felis pardus"""
15955,FELIDAE,Panthera,tigris,Felis tigris,Tiger,Tigre,,EN,A2abcd; C1,3.1,2015,decreasing,N,Panthera tigris,"""Panthera tigris""","""Felis tigris"""
22732,FELIDAE,Panthera,uncia,Felis uncia|Uncia uncia  ,"Snow Leopard, Ounce","Once, Léopard des neiges, Panthère des neiges",Pantera de la Nieves,EN,C1,3.1,2008,decreasing,N,Panthera uncia,"""Panthera uncia""","""Felis uncia|Uncia uncia  """
16218,FELIDAE,Pardofelis,marmorata,,Marbled Cat,Chat marbré,Gato Jaspeado,NT,,3.1,2016,decreasing,N,Pardofelis marmorata,"""Pardofelis marmorata""",
18146,FELIDAE,Prionailurus,bengalensis,,Leopard Cat,"Chat-léopard du Bengale, Chat de Chine","Gato Bengalí, Gato de Bengala",LC,,3.1,2015,stable,N,Prionailurus bengalensis,"""Prionailurus bengalensis""",
18148,FELIDAE,Prionailurus,planiceps,,Flat-headed Cat,Chat à tête plate,Gato Cabeciancho,EN,C1,3.1,2015,decreasing,N,Prionailurus planiceps,"""Prionailurus planiceps""",
18149,FELIDAE,Prionailurus,rubiginosus,,Rusty-spotted Cat,"Chat rubigineux, Chat rougeâtre, Chat-léopard de l'Inde","Gato Rojizo, Gato Rubiginosa",NT,,3.1,2016,decreasing,N,Prionailurus rubiginosus,"""Prionailurus rubiginosus""",
18150,FELIDAE,Prionailurus,viverrinus,,Fishing Cat,Chat Pêcheur,Gato Pescador,VU,A2cd+3cd+4cd,3.1,2016,decreasing,N,Prionailurus viverrinus,"""Prionailurus viverrinus""",
